Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_fd,cp_vs2,cp_vs1,cp_fs1,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cp_fs1_edges,cr_vs2_fs1_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_fflags,cp_csr_frm,std_vec,cp_custom_vfncvt_rup_overflow,cp_custom_FpRecSqrtEst_flag_edges,cp_custom_FpRecipEst_flag_edges,cp_custom_FpRecSqrtEst_edges,cp_custom_FpRecipEst_edges,cp_custom_vfp_NaN_input,cp_custom_vfclass_onehot,cp_custom_vfncvt_rod_overflow,cp_custom_vfredosum_ordered_sum,cp_custom_vfredosum_NAN_vl0,cp_custom_fmv_sf_vd_all_lmul,cp_custom_fmv_fs_vs2_all_lmul,cp_custom_vfp_flags_set,cp_custom_vfp_flags_inactive_not_set,cp_custom_vfp_flags_nv,cp_custom_vfp_flags_nv_nx,cp_custom_vfp_flags_nv_nx_dz,cp_custom_vfp_flags_nv_nx_of,cp_custom_vfp_flags_nv_nx_of_uf,cp_custom_vfp_flags_nx,cp_custom_vfp_flags_nv_dz
vfadd.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,von,v,x,,,,,,x,,,,,,,x,,,,,x,,,
vfadd.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,von,v,x,,,,,,x,,,,,,,x,,,,,x,,,
vfwadd.vv,VVVM,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,x,,,,,,
vfwadd.vf,VVFM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,x,,,,,,
vfwadd.wv,VVVM,x,x,,x,x,,x,emul2,,emul2,x,,emul2,,,,f_emul2,f,fwv,,,x,lmul4max,lmul4max,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwadd.wf,VVFM,x,x,,x,x,,x,emul2,,emul2,,x,emul2,,,,f_emul2,,,v,wf,x,lmul4max,lmul4max,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfsub.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfsub.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwsub.vv,VVVM,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,x,,,,,,
vfwsub.vf,VVFM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,x,,,,,,
vfwsub.wv,VVVM,x,x,,x,x,,x,emul2,,emul2,x,,emul2,,,,f_emul2,f,fwv,,,x,lmul4max,lmul4max,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwsub.wf,VVFM,x,x,,x,x,,x,emul2,,emul2,,x,emul2,,,,f_emul2,,,v,wf,x,lmul4max,lmul4max,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfrsub.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,von,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmul.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,,,,x,,
vfmul.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,,,,x,,
vfwmul.vv,VVVM,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,x,,,,,,
vfwmul.vf,VVFM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,x,,,,,,
vfdiv.vv,VVVM,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,vdoun,v,x,,,,,,x,,,,,,,x,,,,x,,,,
vfdiv.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,vdoun,v,x,,,,,,x,,,,,,,x,,,,x,,,,
vfrdiv.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,vdoun,v,x,,,,,,x,,,,,,,x,,,,x,,,,
vfmacc.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmacc.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmacc.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmacc.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmsac.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmsac.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmsac.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmsac.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmadd.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmadd.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmadd.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmadd.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmsub.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfmsub.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmsub.vv,VVVMR,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfnmsub.vf,VFVM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwmacc.vv,VVVMR,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwmacc.vf,VFVM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwnmacc.vv,VVVMR,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwnmacc.vf,VFVM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwmsac.vv,VVVMR,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwmsac.vf,VFVM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwnmsac.vv,VVVMR,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwnmsac.vf,VFVM,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vun,v,x,,,,,,x,,,,,,,x,,,x,,,,,
